client_num,time_stamp,event,server_id,avg_thread_count
4730,1509037336420,done,1509037037912,2.3166666666666678
4731,1509037336543,done,1509036206104,2.150000000000001
4738,1509037336559,start,,
4739,1509037336713,start,,
4732,1509037336724,done,1509036452413,2.3499999999999934
4733,1509037336836,done,1509037037912,2.3166666666666678
4740,1509037336851,start,,
4741,1509037336983,start,,
4734,1509037336989,done,1509036206104,2.150000000000001
4735,1509037337118,done,1509036452413,2.3499999999999934
4742,1509037337133,start,,
4743,1509037337270,start,,
4736,1509037337270,done,1509037037912,2.3166666666666678
4737,1509037337416,done,1509036206104,2.150000000000001
4744,1509037337422,start,,
4738,1509037337558,done,1509036452413,2.333333333333327
4745,1509037337559,start,,
4746,1509037337706,start,,
4739,1509037337715,done,1509037037912,2.3166666666666678
4747,1509037337848,start,,
4740,1509037337853,done,1509036206104,2.150000000000001
4741,1509037337973,done,1509036452413,2.333333333333327
4748,1509037337997,start,,
4742,1509037338137,done,1509037037912,2.3166666666666678
4749,1509037338137,start,,
4743,1509037338261,done,1509036206104,2.150000000000001
4750,1509037338274,start,,
4751,1509037338415,start,,
4744,1509037338417,done,1509036452413,2.333333333333327
4745,1509037338553,done,1509037037912,2.3166666666666678
4752,1509037338565,start,,
4746,1509037338700,done,1509036206104,2.150000000000001
4753,1509037338705,start,,
4747,1509037338845,done,1509036452413,2.333333333333327
4754,1509037338848,start,,
4755,1509037338991,start,,
4748,1509037338994,done,1509037037912,2.3166666666666678
4749,1509037339130,done,1509036206104,2.150000000000001
4756,1509037339145,start,,
4750,1509037339265,done,1509036452413,2.333333333333327
4757,1509037339279,start,,
4758,1509037339414,start,,
4751,1509037339427,done,1509037037912,2.3166666666666678
4752,1509037339561,done,1509036206104,2.1666666666666674
4759,1509037339567,start,,
4753,1509037339696,done,1509036452413,2.333333333333327
4760,1509037339705,start,,
4754,1509037339845,done,1509037037912,2.3166666666666678
4761,1509037339846,start,,
4755,1509037340011,done,1509036206104,2.1666666666666674
4762,1509037340011,start,,
4763,1509037340126,start,,
4756,1509037340148,done,1509036452413,2.333333333333327
4757,1509037340275,done,1509037037912,2.3166666666666678
4764,1509037340275,start,,
4758,1509037340403,done,1509036206104,2.1666666666666674
4765,1509037340418,start,,
4766,1509037340558,start,,
4759,1509037340565,done,1509036452413,2.31666666666666
4767,1509037340695,start,,
4760,1509037340706,done,1509037037912,2.3166666666666678
4761,1509037340839,done,1509036206104,2.1666666666666674
4768,1509037340844,start,,
4769,1509037340987,start,,
4762,1509037341019,done,1509036452413,2.31666666666666
4763,1509037341117,done,1509037037912,2.3166666666666678
4770,1509037341122,start,,
4771,1509037341269,start,,
4764,1509037341276,done,1509036206104,2.1666666666666674
4772,1509037341414,start,,
4765,1509037341420,done,1509036452413,2.31666666666666
4773,1509037341551,start,,
4766,1509037341553,done,1509037037912,2.3166666666666678
4767,1509037341689,done,1509036206104,2.1666666666666674
4774,1509037341698,start,,
4775,1509037341843,start,,
4768,1509037341844,done,1509036452413,2.31666666666666
4769,1509037341987,done,1509037037912,2.3166666666666678
4776,1509037341990,start,,
4770,1509037342111,done,1509036206104,2.1666666666666674
4777,1509037342125,start,,
4778,1509037342264,start,,
4771,1509037342265,done,1509036452413,2.31666666666666
4779,1509037342404,start,,
4772,1509037342414,done,1509037037912,2.3166666666666678
4773,1509037342545,done,1509036206104,2.1666666666666674
4780,1509037342550,start,,
4781,1509037342695,start,,
4774,1509037342698,done,1509036452413,2.31666666666666
4782,1509037342834,start,,
4775,1509037342845,done,1509037037912,2.3166666666666678
4783,1509037342978,start,,
4776,1509037342995,done,1509036206104,2.1666666666666674
4784,1509037343124,start,,
4777,1509037343127,done,1509036452413,2.31666666666666
4778,1509037343263,done,1509037037912,2.3166666666666678
4785,1509037343263,start,,
4779,1509037343396,done,1509036206104,2.1833333333333345
4786,1509037343403,start,,
4780,1509037343544,done,1509036452413,2.31666666666666
4787,1509037343555,start,,
4788,1509037343696,start,,
4781,1509037343709,done,1509037037912,2.3166666666666678
4782,1509037343829,done,1509036206104,2.1833333333333345
4789,1509037343837,start,,
4790,1509037343973,start,,
4783,1509037343974,done,1509036452413,2.31666666666666
4784,1509037344129,done,1509037037912,2.3166666666666678
4785,1509037344254,done,1509036206104,2.1833333333333345
4791,1509037344271,start,,
4792,1509037344276,start,,
4793,1509037344407,start,,
4786,1509037344410,done,1509036452413,2.31666666666666
4794,1509037344550,start,,
4787,1509037344564,done,1509037037912,2.3166666666666678
4788,1509037344678,done,1509036206104,2.1666666666666674
4795,1509037344686,start,,
4796,1509037344830,start,,
4789,1509037344832,done,1509036452413,2.31666666666666
4797,1509037344967,start,,
4790,1509037344969,done,1509037037912,2.3166666666666678
4798,1509037345111,start,,
4799,1509037345256,start,,
4792,1509037345279,done,1509036452413,2.31666666666666
4791,1509037345314,done,1509036206104,2.1666666666666674
4800,1509037345400,start,,
4793,1509037345408,done,1509037037912,2.3166666666666678
4801,1509037345537,start,,
4794,1509037345638,done,1509036206104,2.1666666666666674
4795,1509037345689,done,1509036452413,2.31666666666666
4802,1509037345691,start,,
4803,1509037345822,start,,
4796,1509037345830,done,1509037037912,2.3166666666666678
4804,1509037345963,start,,
4797,1509037346036,done,1509036206104,2.1666666666666674
4798,1509037346104,done,1509036452413,2.31666666666666
4805,1509037346112,start,,
4799,1509037346251,done,1509037037912,2.3166666666666678
4806,1509037346255,start,,
4807,1509037346394,start,,
4800,1509037346454,done,1509036206104,2.1666666666666674
4801,1509037346528,done,1509036452413,2.31666666666666
4808,1509037346532,start,,
4809,1509037346688,start,,
4802,1509037346693,done,1509037037912,2.3166666666666678
4810,1509037346820,start,,
4803,1509037346841,done,1509036206104,2.1666666666666674
4804,1509037346954,done,1509036452413,2.31666666666666
4811,1509037346960,start,,
4812,1509037347106,start,,
4805,1509037347111,done,1509037037912,2.3166666666666678
4813,1509037347254,start,,
4806,1509037347261,done,1509036206104,2.1666666666666674
4807,1509037347392,done,1509036452413,2.333333333333327
4814,1509037347394,start,,
4808,1509037347524,done,1509037037912,2.3166666666666678
4815,1509037347536,start,,
4816,1509037347674,start,,
4809,1509037347692,done,1509036206104,2.1666666666666674
4810,1509037347809,done,1509036452413,2.333333333333327
4817,1509037347823,start,,
4811,1509037347955,done,1509037037912,2.3166666666666678
4818,1509037347962,start,,
4819,1509037348098,start,,
4812,1509037348100,done,1509036206104,2.1666666666666674
4820,1509037348247,start,,
4813,1509037348254,done,1509036452413,2.333333333333327
4821,1509037348383,start,,
4814,1509037348390,done,1509037037912,2.3166666666666678
4822,1509037348530,start,,
4815,1509037348532,done,1509036206104,2.1666666666666674
4816,1509037348670,done,1509036452413,2.333333333333327
4823,1509037348672,start,,
4817,1509037348822,done,1509037037912,2.3166666666666678
4824,1509037348822,start,,
4818,1509037348960,done,1509036206104,2.1666666666666674
4825,1509037348961,start,,
4819,1509037349088,done,1509036452413,2.333333333333327
4826,1509037349108,start,,
4827,1509037349240,start,,
4820,1509037349251,done,1509037037912,2.3166666666666678
